,,,Dessert (aliment moyen),2.18
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Farine de châtaigne,0
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Amande (avec peau),0.2
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Cacahuète ou Arachide,0.2
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Cacahuète | grillée | salée,0.068
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Noisette,0.3
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Noix | séchée | cerneaux,0.2
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Noix de coco | amande mûre | fraîche,0
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Noix de coco | amande | sèche,0.3
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Noix du Brésil,0
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Pistache | grillée | salée,0.16
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Sésame | graine,0
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Tournesol | graine,0
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Crème de marrons,0.4
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Noix de coco | amande immature | fraîche,0
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Crème de marrons vanillée | appertisée,3.33
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Mélange apéritif de graines salées et raisins secs,8.5
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Noix de cajou | grillée | salée,0.08
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Châtaigne | bouillie/cuite à l'eau,0
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Châtaigne | grillée,0
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Noix | fraîche,0.6
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Châtaigne | crue,0
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Pignon de pin,0.12
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Noix de pécan,0.04
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Noix de macadamia,0.065
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Cucurbitacées | graine,0.13
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Luzerne | graine germée,0.08
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Luzerne | graine,0
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Noisette grillée,0.061
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Lin | graine,0.4
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Sésame | graine décortiquée,0.1
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Cacahuète | grillée à sec | salée,0.1
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Sésame | grillé | graine décortiquée,0
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Châtaigne ou Marron | appertisé,0.5
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Amande | mondée | émondée ou blanchie,0.03
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Amande | grillée | salée,0.01
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Noix de macadamia | grillée | salée,0.07
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Pistache | grillée,0.26
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Tournesol | graine | grillé | salé,0.03
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Noix de pécan | salées,0
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Chia | graine | séchée,0
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Mélange apéritif de graines (non salées) et fruits séchés,0
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Mélange apéritif de graines (non salées) et raisins secs,14.2
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Noisette grillée | salée,0
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Lin | brun | graine,0.3
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Cacahuète | grillée | sans sel ajouté,0
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Noix de cajou | grillée | non salée,0.1
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Noix de cajou | grillée à sec | non salée,0.1
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Pâte d'amande | préemballée,5.52
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Beurre de cacahuète ou Pâte d'arachide,0.13
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Tahin ou Purée de sésame,0
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Arachide | bouillie/cuite à l'eau | salée,0
fruits | légumes | légumineuses et oléagineux,fruits à coque et graines oléagineuses,-,Soja | graine entière,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Blé dur précuit | grains entiers | cuit | non salé,0.2
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Nouilles asiatiques cuites | aromatisées,0.7
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Pâtes ou nouilles asiatiques au blé | cuites | nature | non salées,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Riz complet | cuit | non salé,0.2
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Riz blanc | cuit | non salé,0.2
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Riz blanc étuvé | cuit | non salé,0.01
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Riz rouge | cuit | non salé,0.5
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Riz sauvage | cuit | non salé,0.2
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Riz thaï | cuit | non salé,0.2
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Riz basmati | cuit | non salé,0.2
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Flocons d'avoine | bouillis/cuits à l'eau,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Orge perlée | bouilli/cuite à l'eau | non salée,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Mil | cuit | non salé,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Quinoa | bouilli/cuit à l'eau | non salé,0.1
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Polenta ou semoule de maïs | cuite | non salée,0.1
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Graine de couscous (semoule de blé dur précuite) | cuite | non salée,0.2
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Boulgour de blé | cuit | non salé,0.2
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Pâtes sèches standard | cuites | non salées,0.2
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Pâtes fraîches | aux oeufs | cuites | non salées,0.5
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Pâtes sèches | aux oeufs | cuites | non salées,0.2
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Pâtes sèches | sans gluten | cuites | non salées,0.19
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Pâtes sèches | au blé complet | cuites | non salées,0.2
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Pâtes | sans gluten | à base de riz et maïs | cuites à l'eau | non salées,0.1
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Pâtes | sans gluten | à base de lentilles corail | cuites à l'eau | non salées,0.45
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Vermicelle de riz | cuite | non salée,0.2
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Vermicelle de soja | cuite | non salée,0.5
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Gnocchi à la semoule | cuit,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Gnocchi à la pomme de terre | cuit,0.2
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Gnocchi | cuit (aliment moyen),0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales cuits,Frik (blé dur immature concassé) | cuit | non salé,0.5
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Épeautre | cru,0.82
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Blé de Khorasan | cru,0.61
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Blé tendre entier ou froment | cru,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Blé germé | cru,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Blé dur entier | cru,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Blé dur précuit | entier | cru,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Riz blanc | cru,0.1
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Riz blanc étuvé | cru,0.11
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Riz complet | cru,0.5
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Riz sauvage | cru,0.5
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Riz rouge | cru,0.5
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Riz thaï ou basmati | cru,0.2
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Riz thaï ou basmati | cuit | non salé,0.2
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Riz | mélange de variétés (blanc | complet | rouge | sauvage | etc.) | cru,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Maïs entier | cru,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Avoine | crue,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Orge entière | crue,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Orge perlée | crue,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Mil entier | cru,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Quinoa | cru,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Amarante | crue,0.27
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Sorgho entier | cru,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Sarrasin entier | cru,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Seigle entier | cru,0.28
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Semoule de blé dur | crue,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Semoule de blé dur | cuite | non salée,0.2
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Mélange de céréales et légumineuses | cru,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Polenta ou semoule de maïs | précuite | sèche,0.5
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Graine de couscous (semoule de blé dur précuite) | crue,0.2
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Boulgour de blé | cru,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Pâtes sèches standard | crues,0.085
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Pâtes fraîches | aux oeufs | crues,0
produits céréaliers,pâtes | riz et céréales,pâtes | riz et céréales crus,Pâtes sèches | aux oeufs | crues,0.1
